v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,S2
9,44,27,22,42,13,36,1,32,33,26,21,19,6,23,48,3230
9,32,42,19,27,26,36,23,44,33,13,6,22,21,1,48,3230
13,42,1,36,44,9,22,27,6,19,48,23,33,32,21,26,3230
13,6,44,33,1,48,22,21,42,19,9,32,36,23,27,26,3230
19,6,23,48,32,33,26,21,42,13,36,1,9,44,27,22,3230
19,42,32,9,23,36,26,27,6,13,33,44,48,1,21,22,3230
22,27,44,9,1,36,13,42,21,26,33,32,48,23,6,19,3230
22,21,1,48,44,33,13,6,27,26,36,23,9,32,42,19,3230
26,21,32,33,23,48,19,6,27,22,9,44,36,1,42,13,3230
26,27,23,36,32,9,19,42,21,22,48,1,33,44,6,13,3230
33,32,21,26,6,19,48,23,44,9,22,27,13,42,1,36,3230
33,44,6,13,21,22,48,1,32,9,19,42,26,27,23,36,3230
36,1,42,13,27,22,9,44,23,48,19,6,26,21,32,33,3230
36,23,27,26,42,19,9,32,1,48,22,21,13,6,44,33,3230
48,23,6,19,21,26,33,32,1,36,13,42,22,27,44,9,3230
48,1,21,22,6,13,33,44,23,36,26,27,19,42,32,9,3230
4,54,7,37,53,17,26,24,2,28,51,31,39,19,32,38,4350
4,2,53,39,7,51,26,32,54,28,17,19,37,31,24,38,4350
17,53,24,26,54,4,37,7,19,39,38,32,28,2,31,51,4350
17,19,54,28,24,38,37,31,53,39,4,2,26,32,7,51,4350
26,24,53,17,7,37,4,54,32,38,39,19,51,31,2,28,4350
26,32,7,51,53,39,4,2,24,38,37,31,17,19,54,28,4350
28,2,31,51,19,39,38,32,54,4,37,7,17,53,24,26,4350
28,54,19,17,31,37,38,24,2,4,39,53,51,7,32,26,4350
37,7,54,4,24,26,17,53,31,51,28,2,38,32,19,39,4350
37,31,24,38,54,28,17,19,7,51,26,32,4,2,53,39,4350
38,32,19,39,31,51,28,2,24,26,17,53,37,7,54,4,4350
38,24,31,37,19,17,28,54,32,26,51,7,39,53,2,4,4350
39,19,32,38,2,28,51,31,53,17,26,24,4,54,7,37,4350
39,53,2,4,32,26,51,7,19,17,28,54,38,24,31,37,4350
51,31,2,28,32,38,39,19,7,37,4,54,26,24,53,17,4350
51,7,32,26,2,4,39,53,31,37,38,24,28,54,19,17,4350
0,59,22,25,47,10,45,16,35,28,41,30,34,15,20,53,4590
0,35,47,34,22,41,45,20,59,28,10,15,25,30,16,53,4590
1,48,29,38,58,11,32,9,28,41,42,19,21,22,31,52,4590
1,28,58,21,29,42,32,31,48,41,11,22,38,19,9,52,4590
10,47,16,45,59,0,25,22,15,34,53,20,28,35,30,41,4590
10,15,59,28,16,53,25,30,47,34,0,35,45,20,22,41,4590
11,58,9,32,48,1,38,29,22,21,52,31,41,28,19,42,4590
11,22,48,41,9,52,38,19,58,21,1,28,32,31,29,42,4590
21,22,31,52,28,41,42,19,58,11,32,9,1,48,29,38,4590
21,58,28,1,31,32,42,29,22,11,41,48,52,9,19,38,4590
25,22,59,0,16,45,10,47,30,41,28,35,53,20,15,34,4590
25,30,16,53,59,28,10,15,22,41,45,20,0,35,47,34,4590
28,35,30,41,15,34,53,20,59,0,25,22,10,47,16,45,4590
28,59,15,10,30,25,53,16,35,0,34,47,41,22,20,45,4590
32,9,58,11,29,38,1,48,31,52,21,22,42,19,28,41,4590
32,31,29,42,58,21,1,28,9,52,38,19,11,22,48,41,4590
34,15,20,53,35,28,41,30,47,10,45,16,0,59,22,25,4590
34,47,35,0,20,45,41,22,15,10,28,59,53,16,30,25,4590
38,29,48,1,9,32,11,58,19,42,41,28,52,31,22,21,4590
38,19,9,52,48,41,11,22,29,42,32,31,1,28,58,21,4590
41,30,35,28,20,53,34,15,22,25,0,59,45,16,47,10,4590
41,28,19,42,22,21,52,31,48,1,38,29,11,58,9,32,4590
41,22,20,45,35,0,34,47,30,25,53,16,28,59,15,10,4590
41,48,22,11,19,38,52,9,28,1,21,58,42,29,31,32,4590
42,19,28,41,31,52,21,22,29,38,1,48,32,9,58,11,4590
42,29,31,32,28,1,21,58,19,38,52,9,41,48,22,11,4590
45,16,47,10,22,25,0,59,20,53,34,15,41,30,35,28,4590
45,20,22,41,47,34,0,35,16,53,25,30,10,15,59,28,4590
52,31,22,21,19,42,41,28,9,32,11,58,38,29,48,1,4590
52,9,19,38,22,11,41,48,31,32,42,29,21,58,28,1,4590
53,20,15,34,30,41,28,35,16,45,10,47,25,22,59,0,4590
53,16,30,25,15,10,28,59,20,45,41,22,34,47,35,0,4590
5,47,4,70,50,56,17,35,55,19,58,20,40,38,59,25,7150
5,55,50,40,4,58,17,59,47,19,56,38,70,20,35,25,7150
17,35,50,56,4,70,5,47,59,25,40,38,58,20,55,19,7150
17,59,4,58,50,40,5,55,35,25,70,20,56,38,47,19,7150
19,55,20,58,38,40,25,59,47,5,70,4,56,50,35,17,7150
19,47,38,56,20,70,25,35,55,5,40,50,58,4,59,17,7150
25,59,38,40,20,58,19,55,35,17,56,50,70,4,47,5,7150
25,35,20,70,38,56,19,47,59,17,58,4,40,50,55,5,7150
40,38,59,25,55,19,58,20,50,56,17,35,5,47,4,70,7150
40,50,55,5,59,17,58,4,38,56,19,47,25,35,20,70,7150
56,50,35,17,47,5,70,4,38,40,25,59,19,55,20,58,7150
56,38,47,19,35,25,70,20,50,40,5,55,17,59,4,58,7150
58,20,55,19,59,25,40,38,4,70,5,47,17,35,50,56,7150
58,4,59,17,55,5,40,50,20,70,25,35,19,47,38,56,7150
70,4,47,5,35,17,56,50,20,58,19,55,25,59,38,40,7150
70,20,35,25,47,19,56,38,4,58,17,59,5,55,50,40,7150
11,45,0,73,53,60,15,29,57,25,55,24,36,35,65,27,7475
11,57,53,36,0,55,15,65,45,25,60,35,73,24,29,27,7475
15,29,53,60,0,73,11,45,65,27,36,35,55,24,57,25,7475
15,65,0,55,53,36,11,57,29,27,73,24,60,35,45,25,7475
25,57,24,55,35,36,27,65,45,11,73,0,60,53,29,15,7475
25,45,35,60,24,73,27,29,57,11,36,53,55,0,65,15,7475
27,65,35,36,24,55,25,57,29,15,60,53,73,0,45,11,7475
27,29,24,73,35,60,25,45,65,15,55,0,36,53,57,11,7475
36,35,65,27,57,25,55,24,53,60,15,29,11,45,0,73,7475
36,53,57,11,65,15,55,0,35,60,25,45,27,29,24,73,7475
55,24,57,25,65,27,36,35,0,73,11,45,15,29,53,60,7475
55,0,65,15,57,11,36,53,24,73,27,29,25,45,35,60,7475
60,53,29,15,45,11,73,0,35,36,27,65,25,57,24,55,7475
60,35,45,25,29,27,73,24,53,36,11,57,15,65,0,55,7475
73,0,45,11,29,15,60,53,24,55,25,57,27,65,35,36,7475
73,24,29,27,45,25,60,35,0,55,15,65,11,57,53,36,7475
8,46,54,53,21,58,62,16,82,24,11,22,26,43,32,66,7905
8,82,21,26,54,11,62,32,46,24,58,43,53,22,16,66,7905
11,22,82,24,32,66,26,43,54,53,8,46,62,16,21,58,7905
11,54,32,62,82,8,26,21,22,53,66,16,24,46,43,58,7905
24,82,22,11,43,26,66,32,46,8,53,54,58,21,16,62,7905
24,46,43,58,22,53,66,16,82,8,26,21,11,54,32,62,7905
26,43,32,66,82,24,11,22,21,58,62,16,8,46,54,53,7905
26,21,82,8,32,62,11,54,43,58,24,46,66,16,22,53,7905
53,54,46,8,16,62,58,21,22,11,24,82,66,32,43,26,7905
53,22,16,66,46,24,58,43,54,11,62,32,8,82,21,26,7905
58,21,16,62,46,8,53,54,43,26,66,32,24,82,22,11,7905
58,43,46,24,16,66,53,22,21,26,8,82,62,32,54,11,7905
62,16,21,58,54,53,8,46,32,66,26,43,11,22,82,24,7905
62,32,54,11,21,26,8,82,16,66,53,22,58,43,46,24,7905
66,32,43,26,22,11,24,82,16,62,58,21,53,54,46,8,7905
66,16,22,53,43,58,24,46,32,62,11,54,26,21,82,8,7905
11,17,59,68,8,79,23,41,77,31,28,29,49,32,61,37,8515
11,77,8,49,59,28,23,61,17,31,79,32,68,29,41,37,8515
23,41,8,79,59,68,11,17,61,37,49,32,28,29,77,31,8515
23,61,59,28,8,49,11,77,41,37,68,29,79,32,17,31,8515
28,29,77,31,61,37,49,32,59,68,11,17,23,41,8,79,8515
28,59,61,23,77,11,49,8,29,68,37,41,31,17,32,79,8515
31,77,29,28,32,49,37,61,17,11,68,59,79,8,41,23,8515
31,17,32,79,29,68,37,41,77,11,49,8,28,59,61,23,8515
37,61,32,49,29,28,31,77,41,23,79,8,68,59,17,11,8515
37,41,29,68,32,79,31,17,61,23,28,59,49,8,77,11,8515
49,32,61,37,77,31,28,29,8,79,23,41,11,17,59,68,8515
49,8,77,11,61,23,28,59,32,79,31,17,37,41,29,68,8515
68,59,17,11,41,23,79,8,29,28,31,77,37,61,32,49,8515
68,29,41,37,17,31,79,32,59,28,23,61,11,77,8,49,8515
79,8,41,23,17,11,68,59,32,49,37,61,31,77,29,28,8515
79,32,17,31,41,37,68,29,8,49,11,77,23,61,59,28,8515
9,11,62,72,12,82,29,39,83,33,24,26,46,36,63,43,9230
9,83,12,46,62,24,29,63,11,33,82,36,72,26,39,43,9230
24,26,83,33,63,43,46,36,62,72,9,11,29,39,12,82,9230
24,62,63,29,83,9,46,12,26,72,43,39,33,11,36,82,9230
29,39,12,82,62,72,9,11,63,43,46,36,24,26,83,33,9230
29,63,62,24,12,46,9,83,39,43,72,26,82,36,11,33,9230
33,83,26,24,36,46,43,63,11,9,72,62,82,12,39,29,9230
33,11,36,82,26,72,43,39,83,9,46,12,24,62,63,29,9230
43,63,36,46,26,24,33,83,39,29,82,12,72,62,11,9,9230
43,39,26,72,36,82,33,11,63,29,24,62,46,12,83,9,9230
46,36,63,43,83,33,24,26,12,82,29,39,9,11,62,72,9230
46,12,83,9,63,29,24,62,36,82,33,11,43,39,26,72,9230
72,62,11,9,39,29,82,12,26,24,33,83,43,63,36,46,9230
72,26,39,43,11,33,82,36,62,24,29,63,9,83,12,46,9230
82,12,39,29,11,9,72,62,36,46,43,63,33,83,26,24,9230
82,36,11,33,39,43,72,26,12,46,9,83,29,63,62,24,9230
4,47,18,86,78,46,31,28,49,12,82,26,38,74,44,33,9945
4,49,78,38,18,82,31,44,47,12,46,74,86,26,28,33,9945
12,49,26,82,74,38,33,44,47,4,86,18,46,78,28,31,9945
12,47,74,46,26,86,33,28,49,4,38,78,82,18,44,31,9945
